Composition,Structure,Str1,stable structure,elem,USFE,SurfEne,ISIS,Number,EleNeg_Miedema,EleDensity_Miedema,V0_Miedema,Period,Group,M_Num2,Mass,Radius_Coval,VaporHeat,Ion_Pot_1,Ion_Pot_2,Ion_Pot_3,Radius_vDW,EleNeg_Pauling,No_Spectral_lines,MaxR_Ele_in_Solid,Heat_Capacity,BoilingT,MeltingT,Heat_Fusion,Heat_Sublimation,CohEnergy,DebyeT,Therm_Conduc,Ele_Conduc,S298,Electron_Affinity,Y_wiki,B_wiki,G_wiki,WorkFunc,Possion_exp,NsVal,NpVal,NdVal,Nval,NsUnfill,NpUnfill,NdUnfill,NUnfill,Va_Activa,DFTBh,DFTGh,DFTYoung,DFTv0,NDFTC11,NDFTC12,NDFTC44,DFTBhvGh,DFTGvb,DFTGV,DFTpoisson,ratio_bh,Gb2pih,BGsq,GGB32,PackingEff,SpaceGroup,NfVal,NfUnfill,Va_Form,DFTC11,DFTC12,DFTC44,DFTC13,DFTC33,NDFTCxx,FT_Thomson_exp,FT_Thomson_dft,FT_Rice_92_exp,FT_Rice_92_dft,FT_Niu_exp,FT_Niu_dft,FT_Mazhnik_exp,FT_Mazhnik_dft,FT_Rice_68_exp,FT_Rice_68_dft,Fracture_toughness
Be5.5 Ti10.5 Mo10.5 Cr10.5 Fe10.5 Co10.5 Ni10.5 Cu10.5 Al10.5 Si10.5,BCC,0.0,0.0,0.0,0.5408029912844999,1.9995000000000005,7.824487145000001,23.845,4.6541500000000005,4.43215,7.968100000000001,3.785,8.615,59.565,51.72505,131.175,375.015,7.123819999999999,17.0256,38.67655,183.555,1.8073,747.7,1.07905,23645.682350000003,3244.535,1793.315,14668.454850000002,426425.535,4.4235500000000005,492.48,1.48655,2.9624,26.793500000000005,0.65815,182.84,148.48,73.3995,4.6545,0.293997693887,1.685,0.0,0.0,6.515,0.0,0.0,0.0,0.0,2.9894,154.57091649999998,67.45278838499999,175.74692259318698,13.153856475,228.69317345,117.5075452999965,84.8413859562535,2.4961638068415,1.881014238617,843.7512185474834,0.31626671482999996,0.9465141695075,10.487018385050003,1.5708266432685003,15.031859237194,0.7181673761999999,218.255,0.0,0.0,1.75565,228.4083412625,118.72222904999998,85.3573916125,116.90020342499999,229.262837825,74.15393513124651,28.835945153884293,28.08971237935089,10.604202958856803,10.329781442465578,160.39446600229934,156.8818472819057,11.264616684832964,11.454587604695867,14.14704696554655,13.97425145246255,50.9
Cr14.3 Fe14.3 Co14.3 Ni14.3 Al42.8,BCC,0.0,0.0,0.0,0.4844934247120001,1.78241,6.416716010000001,20.579,4.64044,4.22295,8.22966,3.572,10.283,66.277,43.78965,126.29099999999998,331.181,6.87089,17.76037,30.94679,184.28600000000003,1.73012,850.877,1.17499,24599.95969,2874.968,1463.53,13442.39186,372264.768,3.91195,468.46899999999994,1.53631,2.27005,27.93678,0.563988,158.517,131.19799999999998,60.89200000000001,4.57029,0.3104915104039,1.857,0.428,0.0,6.002999999999999,0.0,2.14,0.0,4.285,2.5225899999999997,137.02548857,58.07265281600001,152.2443708127679,13.495186165999998,200.36137302000003,105.35690730500001,69.714901155,2.6318444758805,1.6419401180539,700.497695161132,0.3262182774743,0.8551512749972001,8.2074269600731,1.6144556589065002,11.150785512362399,0.7232330583600001,221.711,0.0,0.0,1.6108699999999998,200.36137302000003,105.35690730500001,69.714901155,105.35690730500001,200.36137302000003,62.3106783891524,25.092510302896795,24.789057823477638,9.250586148607985,9.138715583686805,137.91352956903464,137.6415830906866,10.824950869867079,10.873964569640304,13.244970868667728,13.052794615421776,7.6
Cr1 Mn1 Fe1 Co1 Ni1,FCC,0.0,0.0,0.0,0.5487284195800001,0.0,9.0704428,26.0,4.8660000000000005,5.124,6.994,4.0,8.0,59.0,56.081999999999994,132.0,331.8,7.516,16.701999999999998,32.995999999999995,187.0,1.766,1236.4,0.6479999999999999,25086.304,3110.4,1792.4,15340.435999999998,391382.2,4.026000000000001,481.0,0.7460000000000001,1.0044,28.576,0.42960000000000004,219.4,162.0,84.88,4.65,0.27434377649999997,1.8,0.0,6.2,8.0,0.0,0.0,3.8,4.0,3.3620000000000005,191.58599800000002,101.21735100000001,254.35066748886,10.9265558,294.55348333334007,140.10074333334,126.66548166666,2.0633622102399998,3.1226230677,1094.7123854818997,0.27775115526,0.8106343992400001,12.40036252054,1.4225228616999999,40.25204764742,0.728419352,218.8,0.0,0.0,2.328,294.55348333334007,140.10074333334,126.66548166666,140.10074333334,294.55348333334007,110.18577777776,0.0,0.0,11.330027081949671,12.401601733064885,174.679017575528,207.43876316221244,11.557034665166334,12.52059379062728,15.403150127563816,16.601597172769516,219.0
Cr20 Mn20 Fe20 Co20 Ni21,FCC,0.0,0.0,0.0,0.5460613038663367,0.0,9.034005049504952,26.019801980198018,4.869306930693069,5.1263366336633664,6.990099009900991,4.0,8.01980198019802,59.05940594059406,56.10782178217821,131.92079207920793,332.25742574257424,7.517128712871287,16.716336633663367,33.02732673267327,186.76237623762376,1.7674257425742574,1229.1584158415842,0.6472277227722772,25096.1798019802,3110.3960396039606,1791.7623762376238,15363.069603960397,391706.3663366337,4.03009900990099,480.6930693069307,0.7476237623762375,1.0086138613861386,28.588118811881184,0.43680198019801986,219.20792079207922,162.17821782178217,84.79207920792079,4.654950495049505,0.27474567044455445,1.801980198019802,0.0,6.217821782178218,8.01980198019802,0.0,0.0,3.782178217821782,3.98019801980198,3.3576237623762375,191.65488247524752,101.12861986138616,254.20509731530592,10.926494851485149,294.36475330033664,140.29841864687128,126.6623199669901,2.0642408296425745,3.119587185708911,1093.8485700585386,0.2779598374960396,0.8096093733188121,12.380382617767326,1.4229632758732673,40.05072977664753,0.7285387693069307,218.86138613861385,0.0,0.0,2.3212871287128714,294.36475330033664,140.29841864687128,126.6623199669901,140.29841864687128,294.36475330033664,110.11926908689108,0.0,0.0,11.299732853369164,12.367788824515747,174.68437022018597,207.3848983665133,11.560422173076644,12.52170004638674,15.39824351678683,16.59788866165791,221.0
Cr10 Mn10 Fe10 Co10 Ni11,FCC,0.0,0.0,0.0,0.5434464845392156,0.0,8.998281764705883,26.03921568627451,4.872549019607843,5.128627450980392,6.9862745098039225,4.0,8.03921568627451,59.11764705882353,56.13313725490196,131.84313725490196,332.70588235294116,7.518235294117647,16.73039215686274,33.05803921568628,186.52941176470588,1.7688235294117642,1222.0588235294117,0.6464705882352941,25105.861960784314,3110.392156862745,1791.137254901961,15385.259411764706,392024.17647058825,4.034117647058824,480.3921568627451,0.7492156862745099,1.0127450980392156,28.599999999999994,0.44386274509803925,219.01960784313727,162.35294117647058,84.70588235294117,4.659803921568628,0.2751396841156863,1.803921568627451,0.0,6.235294117647059,8.03921568627451,0.0,0.0,3.764705882352941,3.9607843137254903,3.3533333333333335,191.7224162745098,101.04162854901962,254.0623814588804,10.926435098039216,294.1797238562157,140.49221797386275,126.65922026143136,2.0651022212137256,3.116610830815686,1093.001692192498,0.2781644279235294,0.8086044459450982,12.360794477794117,1.42339505447451,39.853359315105884,0.7286558450980393,218.92156862745097,0.0,0.0,2.314705882352941,294.1797238562157,140.49221797386275,126.65922026143136,140.49221797386275,294.1797238562157,110.054064488,0.0,0.0,11.269976567600242,12.334581481340471,174.6894245093935,207.33201284573707,11.563727903106376,12.522779286291968,15.393431931641782,16.59425191692897,217.0
Cr16.7 Fe16.7 Ni33.2 Cu16.7 Al16.7,BCC,0.0,0.0,0.0,0.5453544763592,2.02998,7.058934414,24.66,4.77081,4.55339,7.44168,3.833,9.665999999999999,64.165,52.61454,128.67600000000002,339.089,7.269948,18.013059999999996,33.19909,172.185,1.8031199999999998,943.7090000000001,0.8338599999999998,24894.29582,2998.277,1614.941,14689.80848,385737.04799999995,4.0225,461.85699999999997,1.65816,2.36687,28.64269,0.8012900000000001,181.63,150.942,70.48899999999999,4.68073,0.3041108000476,1.666,0.0,6.162999999999999,7.995999999999999,0.33399999999999996,0.0,0.0,3.336,2.77137,155.80469166999998,66.461548722,174.2745869915411,12.231961554,225.49673288000002,120.956367795,82.51731061999999,2.4813941754244997,1.9318549673952998,769.3026781018457,0.31890483872509995,0.8799979033268001,9.4321176669646,1.5701478950544,12.6115752002294,0.72033838284,226.33599999999998,0.0,0.0,1.77191,225.49673288000002,120.956367795,82.51731061999999,120.956367795,225.49673288000002,72.43493459416112,28.67916494394712,28.14862636279866,10.511024913912813,10.316580471226192,156.572352185539,154.46313513410476,11.28129782173534,11.316104171248787,14.147069839261851,13.92856588531664,42.5
Cr16.7 Fe16.7 Ni33.2 Cu16.7 Al16.7,FCC,0.0,0.0,0.0,0.4891327086453,2.1402,7.487750000000001,24.66,4.77081,4.55339,7.44168,3.833,9.665999999999999,64.165,52.61454,128.67600000000002,339.089,7.269948,18.013059999999996,33.19909,172.185,1.8031199999999998,943.7090000000001,0.8338599999999998,24894.29582,2998.277,1614.941,14689.80848,385737.04799999995,4.0225,461.85699999999997,1.65816,2.36687,28.64269,0.8012900000000001,181.63,150.942,70.48899999999999,4.68073,0.3041108000476,1.666,0.0,6.162999999999999,7.995999999999999,0.33399999999999996,0.0,0.0,3.336,2.77137,155.93773556,81.552840728,204.97326605197827,12.079987378999999,236.03128103333893,115.8884616583389,104.94310991666109,2.2718234188044,2.4477802796544,914.7126903296271,0.29253116987149996,0.7935523422634,10.0207751900973,1.4897434716834,32.6523620973323,0.73040944142,226.33599999999998,0.0,0.0,1.76356,236.03128103333893,115.8884616583389,104.94310991666109,115.8884616583389,236.03128103333893,89.98587650692961,29.447457390913822,31.41398753379081,9.954489137894559,10.619259704899486,156.24644261994197,170.82033600916077,11.257815496656034,11.729489154279321,14.147069839261851,14.971814683523329,42.5
Cr16.7 Fe16.7 Ni33.2 Cu16.8 Al16.7,BCC,0.0,0.0,0.0,0.5449558981879121,2.0293706293706295,7.05420935964036,24.664335664335667,4.770489510489511,4.552017982017983,7.441358641358642,3.833166833166833,9.66733266733267,64.16883116883116,52.62546453546454,128.6793206793207,339.0499500499501,7.270401598401599,18.015334665334663,33.20271728271729,172.15284715284716,1.8032167832167831,943.1188811188812,0.8336063936063935,24893.894705294704,2998.4285714285716,1614.6843156843156,14688.183116883116,385690.06993006996,4.021968031968032,461.73826173826177,1.6605094905094904,2.3703796203796204,28.647192807192813,0.8017242757242757,181.5784215784216,150.93106893106895,70.46653346653346,4.680559440559441,0.3041528010927073,1.6653346653346657,0.0,6.166833166833166,7.999000999001,0.33466533466533466,0.0,0.0,3.3336663336663337,2.7706493506493506,155.78906927072927,66.4446934925075,174.2334284643108,12.2317544995005,225.4461054745255,120.95824470029972,82.51109897102897,2.481738977786214,1.9312983246822175,769.1298466829236,0.3189276769244755,0.8798251849230769,9.42827017233107,1.5702588682758243,12.605176980166336,0.7203585048351648,226.33466533466535,0.0,0.0,1.7713786213786216,225.4461054745255,120.95824470029972,82.51109897102897,120.95824470029972,225.4461054745255,72.42204277638473,28.671155289223837,28.141303896346653,10.505825634449454,10.311674882950784,156.541288268793,154.43536843755453,11.280442976578104,11.315141047423674,14.145260092527815,13.927033951339714,46.5
Cr16.7 Fe16.7 Ni33.2 Cu16.8 Al16.7,FCC,0.0,0.0,0.0,0.4887902960761239,2.1394805194805198,7.48259655844156,24.664335664335667,4.770489510489511,4.552017982017983,7.441358641358642,3.833166833166833,9.66733266733267,64.16883116883116,52.62546453546454,128.6793206793207,339.0499500499501,7.270401598401599,18.015334665334663,33.20271728271729,172.15284715284716,1.8032167832167831,943.1188811188812,0.8336063936063935,24893.894705294704,2998.4285714285716,1614.6843156843156,14688.183116883116,385690.06993006996,4.021968031968032,461.73826173826177,1.6605094905094904,2.3703796203796204,28.647192807192813,0.8017242757242757,181.5784215784216,150.93106893106895,70.46653346653346,4.680559440559441,0.3041528010927073,1.6653346653346657,0.0,6.166833166833166,7.999000999001,0.33466533466533466,0.0,0.0,3.3336663336663337,2.7706493506493506,155.92198024975025,81.52090928271728,204.9014395136986,12.079932146853146,235.97012960373522,115.89540140693198,104.91449487178932,2.272377582561339,2.446708227038961,914.3945941632247,0.29258035539240757,0.7934659830615385,10.01633962601009,1.4899347690040963,32.62594311113826,0.7304195024175825,226.33466533466535,0.0,0.0,1.7630369630369631,235.97012960373522,115.89540140693198,104.91449487178932,115.89540140693198,235.97012960373522,89.95545128064897,29.43870325716603,31.40364892890409,9.949718585202874,10.613832635954992,156.21576504442683,170.77813281916877,11.256985611363953,11.728410788981726,14.145260092527815,14.969426811614566,46.5
Ti5.9 Cr29.4 Fe29.4 Ni29.4 Al5.9,BCC,0.0,0.0,0.0,0.8032534775658,2.49132,9.656030314,24.997,4.8173200000000005,5.09685,7.3647,3.9410000000000003,8.059,59.236,53.37891,132.709,355.17799999999994,7.13205,16.852089999999997,32.09141999999999,182.41299999999998,1.77345,1417.1580000000001,0.7502999999999999,24799.12236,3036.0570000000002,1837.4289999999999,15305.56092,410373.45699999994,4.25524,505.73199999999997,0.93191,1.17854,27.184459999999998,0.613915,213.834,160.914,84.39200000000001,4.668089999999999,0.2798003356681,1.7060000000000002,0.0,5.703999999999999,7.468999999999999,0.0,0.0,3.7060000000000004,4.295,3.25476,164.49519058999994,72.369143838,189.178978848757,11.949678142999998,249.91854050999996,121.78147664,83.465985915,2.3336587670105,2.1116193437430995,833.8711371745435,0.3104118705447,1.0114779782375998,11.581840815356998,1.5246078493656001,14.305130508097397,0.7050207248800001,225.52299999999997,0.0,0.0,2.2237899999999997,249.91854050999996,121.78147664,83.465985915,121.78147664,249.91854050999996,77.0001679216647,34.17188493040346,32.33899966210827,13.720359390237627,12.984437311215657,176.20041339025906,164.97293001334077,11.695582683087524,11.586838851554981,15.23143469626027,14.468970817056778,33.5
